,id,session_id,date,object,action,strValue,unit_id,user_detail_id,intValue,just_date
29244,30542,4261317775,2017-05-15 15:30:24.702508,2,204,bmestous,,74,,2017-05-15
29245,30543,4261317775,2017-05-15 15:30:33.290911,2,301,bmestous,,74,,2017-05-15
29246,30544,4261317775,2017-05-15 15:30:33.291881,3,302,bmestous,,74,,2017-05-15
29247,30545,4261317775,2017-05-15 15:30:33.882378,0,101,,,74,,2017-05-15
29248,30546,4261317775,2017-05-15 15:30:34.125106,3,303,bmestous,,74,,2017-05-15
29249,30547,4261317775,2017-05-15 15:30:34.125904,1,204,bmestous,,74,,2017-05-15
29250,30548,4261317775,2017-05-15 15:30:34.231068,1,205,bmestous,,74,,2017-05-15
29251,30549,4261317775,2017-05-15 15:30:38.882924,0,101,,,74,,2017-05-15
29252,30550,4261317775,2017-05-15 15:30:39.344631,4,401,,3.0,74,3.0,2017-05-15
29253,30551,4261317775,2017-05-15 15:31:14.246445,6,502,,3.0,74,,2017-05-15
29254,30552,2658318468,2017-05-15 15:37:09.463516,6,602,07e1b75fe53343221703226deb96b71bb6d90930,4.0,69,,2017-05-15
29255,30553,2658318468,2017-05-15 15:37:12.695262,7,702,01,4.0,69,,2017-05-15
29256,30554,2658318468,2017-05-15 15:37:14.309538,7,701,,4.0,69,,2017-05-15
29257,30555,2658318468,2017-05-15 15:37:15.361066,7,701,,4.0,69,,2017-05-15
